"Category"	"Imperviousness_mean"	"Imperviousness_stdev"	"NDVI_mean"	"NDVI_stdev"	"Imperviousness_percentage"
"Seminat_Rho"	"3"	38.079	39.518	0.462	0.278	55.5698452925824
"Contr_Rho"	"4"	30.525	38.053	0.457	0.275	46.1218391239385
"Seminat_Vanzago"	"3"	9.29	23.709	0.578	0.282	15.5548410281629
"Contr_Vanzago"	"4"	5.625	18.446	0.522	0.272	9.8080378250591
"Seminat_Foppa"	"3"	34.664	36.525	0.491	0.274	54.6972504822057
"Contr_Foppa"	"4"	35.812	36.439	0.498	0.279	56.5541371158392
"Seminat_Aironi"	"3"	6.778	21.187	0.639	0.261	10.936908994629
"Contr_Aironi"	"4"	10.556	24.748	0.602	0.266	18.0681646239976
"Seminat_Azzurro"	"3"	8.95	24.724	0.671	0.216	13.9304423473344
"Contr_Azzurro"	"4"	12.604	26.666	0.641	0.226	22.1583386919847
"Seminat_Lura"	"3"	22.691	33.561	0.498	0.266	36.7791962174941
"Contr_Lura"	"4"	27.922	34.519	0.525	0.256	46.3602836879433
"FWS_Merone"	"1"	12.628	25.894	0.599	0.315	23.1141711432246
"Contr_Merone"	"2"	18.035	29.749	0.599	0.265	33.2992907801418
"FWS_Capiago"	"1"	16.388	27.277	0.656	0.223	32.8094859866107
"Contr_Capiago"	"2"	2.269	10.569	0.724	0.131	5.83262411347518
"FWS_Carimate"	"1"	28.711	35.586	0.532	0.264	46.9163120567376
"Contr_Carimate"	"2"	27.773	34.469	0.542	0.27	50.9522818830027
"FWS_VillaG"	"1"	22.378	33.515	0.58	0.284	36.8394174390013
"Contr_VillaG"	"2"	27.031	34.655	0.559	0.276	44.7618147448015
"FWS_Mozzate"	"1"	22.932	33.153	0.544	0.271	37.8137115839243
"Contr_Mozzate"	"2"	12.723	27.289	0.6	0.266	21.0038580830623
"FWS_Gorla"	"1"	39.261	35.013	0.488	0.256	64.0914592631818
"Contr_Gorla"	"2"	30.366	34.582	0.561	0.255	51.144186398366
