"Category"	"Sclc"	"Hclc"	"Dclc"	"wood"	"agro"	"hydro"	"phrg"
"Seminat_Rho"	"3"	5	1.73177695393839	1.34652219182847	0	85.62	12.9	0.85
"Contr_Rho"	"4"	4	2.02508011246596	1.53344613560462	8.14	79.76	9.32	0
"Seminat_Vanzago"	"3"	5	3.69155616811999	3.01081665993247	50.19	17.61	20.52	7.05
"Contr_Vanzago"	"4"	2	1.98414490319986	1.96874421681386	56.3	43.7	0	0
"Seminat_Foppa"	"3"	6	4.82221081642956	3.91172121444549	9.79	42.52	19.32	0
"Contr_Foppa"	"4"	5	2.44846375941144	1.79266059452633	5.75	72.93	13.33	1.01
"Seminat_Aironi"	"3"	4	3.11718484857777	2.65316706961199	53.41	0	25.61	0
"Contr_Aironi"	"4"	3	2.10446912341586	1.96820235261589	60.38	37.84	0	0
"Seminat_Azzurro"	"3"	2	1.4699737410979	1.29084104903451	87.06	0	12.94	0
"Contr_Azzurro"	"4"	1	1	1	100	0	0	0
"Seminat_Lura"	"3"	7	4.58629964505456	3.22856156024241	7.76	2.8	19.73	10.34
"Contr_Lura"	"4"	3	2.45373081428061	2.19969419014743	32.64	58.29	9.06	0
"FWS_Merone"	"1"	5	3.40174446956572	2.6592489929823	55.66	0	24.83	6.8
"Contr_Merone"	"2"	3	2.38880513483965	2.01006891762492	66.4	0	15.93	0
"FWS_Capiago"	"1"	5	2.42987104135764	1.94623540269926	67.46	23.08	0.21	2.2
"Contr_Capiago"	"2"	2	1.96861098374595	1.93897886160147	58.87	41.13	0	0
"FWS_Carimate"	"1"	7	6.06496937607922	5.46719815061994	20.42	23.39	13.14	9.85
"Contr_Carimate"	"2"	4	2.46059497070318	2.23535081452746	44.99	49.27	4.65	0
"FWS_VillaG"	"1"	6	3.77158842386413	3.16542264501577	47.47	22.02	0.52	1.46
"Contr_VillaG"	"2"	4	2.87542830802309	2.52038982768649	54.91	22.14	0	0
"FWS_Mozzate"	"1"	6	5.15266129422032	4.60983545855718	19.26	17.46	11.89	13.42
"Contr_Mozzate"	"2"	2	1.57682007108848	1.39237721927176	16.97	83.03	0	0
"FWS_Gorla"	"1"	7	4.56090563859793	3.44248109802479	26.2	0	12.05	4.37
"Contr_Gorla"	"2"	4	3.34799014153322	2.87650462262095	51.09	0	16.56	0
"FWS_Limido"	"1"	5	2.36504335767205	1.69894762238975	75.43	2.49	11.24	0
"Contr_Limido"	"2"	3	1.47688730964673	1.27996477536938	87.55	12.15	0	0
"FWS_Pianbosco"	"1"	6	2.17852558343643	1.59494028798752	78.06	0	10.08	1.32
"Contr_Pianbosco"	"2"	3	1.9181400900341	1.53562190636941	79.36	0	11.35	0
"FWS_Castelnuovo"	"1"	8	2.06912663980423	1.41638564086442	83.69	3.14	6.32	0.77
"Contr_Castelnuovo"	"2"	2	1.29898716901798	1.15675509928302	92.69	0	7.31	0
