	Seminat_Rho	Contr_Rho	Seminat_Vanzago	Contr_Vanzago	Seminat_Foppa	Contr_Foppa	Seminat_Aironi	Contr_Aironi	Seminat_Azzurro	Contr_Azzurro	Seminat_Lura	Contr_Lura	FWS_Merone	Contr_Merone	FWS_Capiago	Contr_Capiago	FWS_Carimate	Contr_Carimate	FWS_VillaG	Contr_VillaG	FWS_Mozzate	Contr_Mozzate	FWS_Gorla	Contr_Gorla	FWS_Limido	Contr_Limido	FWS_Pianbosco	Contr_Pianbosco	FWS_Castelnuovo	Contr_Castelnuovo
Acrocephalus_arundinaceus	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acrocephalus_schoenobaenus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Acrocephalus_scirpaceus	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actitis_hypoleucos	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Aegithalos_caudatus	0	0	3	0	3	3	4	7	6	5	1	3	5	4	3	6	0	2	4	4	5	0	4	2	6	5	6	3	5	9
Aix_galericulata	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aix_sponsa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alauda_arvensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Alcedo_atthis	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Anas_crecca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Anas_platyrhynchos	8	5	8	0	9	2	0	0	6	0	8	1	11	0	0	0	10	7	0	0	35	0	15	6	6	0	1	0	1	0
Anthus_trivialis	1	1	0	0	1	1	0	2	0	0	1	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0
Apus_apus	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ardea_cinerea	2	0	0	0	1	0	1	0	1	0	2	0	2	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0
Carduelis_carduelis	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Certhia_brachydactyla	1	0	0	0	2	0	0	0	2	2	0	1	3	4	0	3	0	1	2	4	0	0	0	1	4	3	2	1	2	2
Chloris_chloris	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Coloeus_monedula	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Columba_livia	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0
Columba_palumbus	3	5	4	1	5	1	2	3	0	4	2	6	4	3	4	3	3	3	8	3	0	0	5	6	1	1	2	3	3	3
Corvus_cornix	17	2	2	6	2	2	5	2	2	4	6	4	7	6	1	4	4	8	2	1	6	3	7	4	1	2	1	0	5	1
Cuculus_canorus	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
Cyanistes_caeruleus	0	1	5	1	5	0	2	2	2	2	3	0	1	2	2	1	2	0	4	3	0	0	1	1	1	6	6	4	4	5
Dendrocopos_major	1	1	3	2	1	2	0	1	4	4	2	4	4	3	3	5	1	1	3	3	3	1	1	2	2	1	3	2	1	2
Dryobates_minor	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dryocopus_martius	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
